EntityID,Date,Childcare,Childcare_d,Education,Education_d,Employment,Employment_d,Financial Literacy,Financial Literacy_d,Food Security,Food Security_d,Health Care/Services,Health Care/Services_d,Housing,Housing_d,Income,Income_d,Nutrition,Nutrition_d,Transportation,Transportation_d,Program Collecting Score,LastScoreDate,ScoreDate
4198,2018-09-10,,,1.0,,,,,,,,,,,,,,,,,,Homemaker Services,,2018-09-10
5943,2016-08-02,7.0,,4.0,,8.0,,,,4.0,,,,15.0,,4.0,,,,5.0,,Gallatin Valley Food Bank,,2016-08-02
5944,2016-06-21,7.0,0.0,4.0,0.0,3.0,0.0,,,,,,,7.0,3.0,1.0,-1.0,,,2.0,-1.0,Services Navigation,2016-07-15,2016-06-21
5944,2016-07-15,7.0,,4.0,,3.0,,,,2.0,,,,4.0,,2.0,,,,3.0,,Gallatin Valley Food Bank,,2016-07-15
5963,2015-03-13,,,4.0,,7.0,,,,4.0,,,,11.0,,2.0,,,,3.0,,Big Sky Community Food Bank,,2015-03-13
5963,2015-11-20,,,4.0,0.0,5.0,-2.0,,,4.0,0.0,,,11.0,0.0,2.0,0.0,,,5.0,2.0,Big Sky Community Food Bank,2015-03-13,2015-11-20
5967,2015-08-13,7.0,,4.0,,2.0,,,,2.0,,,,3.0,,1.0,,,,4.0,,Gallatin Valley Food Bank,,2015-08-13
5974,2015-01-06,7.0,,3.0,,7.0,,,,4.0,,,,11.0,,2.0,,,,4.0,,Big Sky Community Food Bank,,2015-01-06
5974,2015-11-17,,,3.0,0.0,5.0,-2.0,,,4.0,0.0,,,11.0,0.0,4.0,2.0,,,5.0,1.0,Big Sky Community Food Bank,2015-01-06,2015-11-17
5978,2016-02-05,7.0,,4.0,,8.0,,,,,,,,20.0,,6.0,,,,5.0,,Road to Home - Homebuyer Education,,2016-02-05
5981,2016-03-03,7.0,,5.0,,3.0,,,,,,,,16.0,,5.0,,,,,,LIEAP,,2016-03-03
5981,2016-03-24,7.0,0.0,4.0,-1.0,3.0,0.0,,,,,,,15.0,-1.0,5.0,0.0,,,5.0,,Energy Share,2016-03-03,2016-03-24
5981,2016-12-08,7.0,0.0,5.0,1.0,3.0,0.0,,,,,,,16.0,1.0,6.0,1.0,,,,,LIEAP,2016-03-24,2016-12-08
5983,2016-03-23,7.0,,4.0,,8.0,,,,,,,,,,2.0,,,,5.0,,VITA,,2016-03-23
5983,2017-02-22,,,4.0,0.0,,,12.0,,5.0,,,,16.0,,1.0,-1.0,,,5.0,0.0,VITA,2016-03-23,2017-02-22
5983,2019-02-14,7.0,0.0,4.0,0.0,,,7.0,-5.0,3.0,-2.0,4.0,,7.0,-9.0,4.0,3.0,2.0,,4.0,-1.0,Gallatin Valley Food Bank,2017-02-22,2019-02-14
5989,2015-11-12,,,4.0,,2.0,,,,3.0,,,,15.0,,2.0,,,,4.0,,Gallatin Valley Food Bank,,2015-11-12
6001,2019-03-17,7.0,,4.0,,8.0,,,,4.0,,3.0,,17.0,,5.0,,,,5.0,,Homeownership Center,,2019-03-17
6003,2016-06-27,7.0,,4.0,,8.0,,,,3.0,,,,15.0,,3.0,,,,4.0,,Gallatin Valley Food Bank,,2016-06-27
6003,2017-02-13,,,4.0,0.0,8.0,0.0,,,,,,,15.0,0.0,5.0,2.0,,,,,LIEAP,2016-06-27,2017-02-13
6016,2015-10-26,7.0,,5.0,,8.0,,,,,,,,13.0,,2.0,,,,3.0,,LIEAP,,2015-10-26
6016,2016-10-01,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,13.0,0.0,2.0,0.0,,,,,LIEAP,2015-10-26,2016-10-01
6016,2017-11-27,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,14.0,1.0,2.0,0.0,,,,,LIEAP,2016-10-01,2017-11-27
6016,2018-02-12,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,12.0,-2.0,2.0,0.0,,,5.0,2.0,Section 8 Housing,2017-11-27,2018-02-12
6016,2018-09-26,7.0,0.0,5.0,0.0,1.0,-7.0,,,,,,,15.0,3.0,2.0,0.0,,,,,LIEAP,2019-01-08,2018-09-26
6016,2019-01-08,7.0,0.0,5.0,0.0,8.0,0.0,,,,,,,12.0,0.0,2.0,0.0,,,5.0,0.0,Section 8 Housing,2018-02-12,2019-01-08
